22088,03,09,15,17,20,22,06,,1970007210,20,5577161,168,85887,340253450,2022-08-02
22087,05,06,09,13,23,25,08,,2038263308,6,6065849,129,61967,370042706,2022-07-31
22086,01,04,08,21,23,24,11,,2050676797,8,7234563,61,366321,345421240,2022-07-28
22085,07,09,14,31,32,33,13,,2041516396,12,6387330,112,185803,341538762,2022-07-26
22084,03,18,23,24,25,32,09,,2055734480,5,7928087,97,188665,368808592,2022-07-24
22083,08,12,13,14,19,20,05,,2040473284,13,6173323,258,73901,347550570,2022-07-21
22082,04,10,11,23,30,32,14,,2063526963,3,10000000,79,316091,347371994,2022-07-19
22081,04,08,11,21,27,30,01,,2018613381,5,9188488,186,140742,373064250,2022-07-17
22080,05,12,15,17,18,27,04,,1986021667,9,6967330,129,171569,342797508,2022-07-14
22079,01,09,15,17,22,23,16,,1982330237,2,10000000,68,408297,341273762,2022-07-12
22078,01,04,05,15,17,31,09,,1919037561,6,7387658,69,259528,366650644,2022-07-10
22077,03,17,18,19,20,27,16,,1909641199,14,6273517,186,119820,345118818,2022-07-07
22076,08,09,10,13,24,29,02,,1930610784,14,6399054,142,172418,342718328,2022-07-05
22075,01,02,04,25,26,30,10,,1946747172,6,7912531,78,280051,379959636,2022-07-03
22074,05,07,15,19,29,33,15,,1928690407,6,8413181,131,195411,354915638,2022-06-30
22073,06,10,14,15,26,29,12,,1902372906,6,8211585,141,170828,352213628,2022-06-28
22072,05,14,15,16,18,32,12,,1879381753,7,7505272,95,230748,385506202,2022-06-26
22071,04,07,15,18,29,33,01,,1866155263,8,7659663,141,188628,354289328,2022-06-23
22070,04,06,09,27,28,33,02,,1847642672,9,7137010,226,106377,356598990,2022-06-21
22069,06,07,13,19,26,29,08,,1839751672,20,5516327,216,59760,380359658,2022-06-19
22068,07,12,15,24,26,29,06,,1911353650,7,7414434,170,124272,354071622,2022-06-16
22067,01,05,13,21,26,29,15,,1899875782,10,6787147,147,151968,347891686,2022-06-14
22066,06,11,14,20,27,30,09,,1900729226,33,5152928,281,22449,370987262,2022-06-12
22065,09,14,18,23,28,31,02,,2051850948,4,9202821,143,146951,348395414,2022-06-09
22064,04,06,12,13,17,31,16,,2025619908,12,6498426,81,277486,340689068,2022-06-07
22063,06,08,09,17,22,31,11,,2036171824,20,5417818,181,57709,360023818,2022-06-05
22062,16,18,20,21,23,33,05,,2113191829,5,8563331,69,322765,329515310,2022-06-02
22061,01,03,16,18,29,33,06,,2089196019,3,10000000,64,389348,331252342,2022-05-31
22060,16,18,19,24,28,32,01,,2044441141,3,10000000,80,370919,361140396,2022-05-29
22059,06,09,18,19,29,33,06,,1985420373,20,5714126,216,82653,340378840,2022-05-26
